Language,	English,	French
STR_WC_MESSAGEGOCLOSERUNFLIP,				"Get closer to the vehicle you want to unflip",	"Rapprochez vous du vehicule que vous voulez retourner"
STR_WC_MESSAGEGOCLOSERREPAIR,				"Get closer to the vehicle you want to repair",	"Rapprochez vous du vehicule que vous voulez reparer"
STR_WC_MESSAGENOVEHICLENEARYOU,				"There is no vehicle near your position",	"Il n y a pas de vehicules pres de vous"
STR_WC_MESSAGENEAR,							"Near %1",	"Pres de %1"
STR_WC_MESSAGEGOTO,							"Go to %1",	"Allez a %1"
STR_WC_MESSAGEWARNING,						"Warning",	"Attention"
STR_WC_MESSAGERESTARTGAME,					"Restart your game and load the correct addons",	"Redemarrez votre jeu et chargez les bons addons"
STR_WC_MESSAGENOTSYNC,						"Your game is not synchronized with the addons used by the server and may cause instability. Check the settings section in mission info.",	"Votre jeu n est pas synchonise avec les addons utilises par le serveur et cause des instabilites. Verifier les settings dans le menu mission info."
STR_WC_MESSAGEINITIALIZING,					"INITIALIZING MISSION",	"MISSION EN COURS D'INITIALISATION"
STR_WC_MESSAGEHASBEENDESTROYED,				"has been destroyed",	"a ete detruit"
STR_WC_MESSAGETAKISTANLOCALISED,			"Enemy units are localized",	"Les unites ennemies sont localises"
STR_WC_MISSIONCANCELED,						"Mission Cancelled",	"Mission abandonnée"
STR_WC_MESSAGELEAVEZONE,					"Leave the zone",	"Quittez la zone"
STR_WC_MESSAGEMISSIONCOMPLETED,				"Mission completed",	"Mission reussie"
STR_WC_MESSAGEMISSIONFAILED,				"Mission failed",	"Mission échouée"
STR_WC_MESSAGEMISSIONFINISHED,				"Mission %1 Finished",	"Mission %1 terminée"
STR_WC_MESSAGEMISSIONCOMMANDEMENT,			"Head Quarters",	"Etat major"
STR_WC_MESSAGNEXTSTEP,						"Next step in a few seconds",	"En attente d'ordres"
STR_WC_MESSAGEPROMOTED,						"You got promoted",	"Vous avez ete promu"
STR_WC_MESSAGEDEGRADED,						"You got demoted",	"Vous avez ete degrade"
STR_WC_MESSAGETORANK,						"to %1 rank",	"au rang de %1"
STR_WC_MESSAGETEAMPROMOTED,					"Your team got promoted",	"Votre equipe a ete promu"
STR_WC_MESSAGETEAMDEGRADED,					"Your team got demoted",	"Votre equipe a ete degrade"
STR_WC_MESSAGEPLAYERPROMOTED,				"%1 got promoted to %2 rank !",	"%1 a ete promu au rang de %2 !"
STR_WC_MESSAGEPLAYERDEGRADED,				"%1 got demoted to %2 rank !",	"%1 a ete degrade au rang de %2 !"
STR_WC_MESSAGEISLOCKED,						"%1 is locked",	"%1 est verouille"
STR_WC_MESSAGEUNLOCKING,					"unlocking %1",	"deverouillage de %1"
STR_WC_MESSAGELOCKING,						"locking %1",	"verouillage de %1"
STR_WC_MESSAGEISUNLOCKED,					"%1 is unlocked",	"%1 est deverouille"
STR_WC_MESSAGECANNOTREPAIR,					"You can't repair Vehicle. Too much damage.",	"Le vehicule est trop endommage. Vous ne pouvez pas le reparer."
STR_WC_MESSAGEANBOMBERMANEXPLOSION,			"A suicide bomber exploded near %1",	"Un homme bombe a explose a cote de %1"
STR_WC_MESSAGEMHQDEPLOYED,					"The MHQ has been deployed near mission zone",	"Le MHQ a ete deploye pres de la zone d insertion"
STR_WC_MESSAGEANIEDEXPLOSION,				"An IED exploded near %1",	"Un ied a explose a pres de %1"
STR_WC_MESSAGEANIEDEXPLOSIONNEARVEHICLE,	"An IED exploded near a friendly vehicle",	"Un ied a explose a cote d un vehicle allie"
STR_WC_MESSAGEABEENDETECTED,				"You have been detected",	"Vous avez ete reconnu"
STR_WC_MESSAGEABEENLOOKED,					"Someone looks at you insistently",	"Quelqu'un vous regarde avec insistance"
STR_WC_INFOPOINTSTOSHARE,					"Points to share",	"Points a partager"
STR_WC_WIN_MISSION,							"The war is won",	"La guerre est gagnee"
STR_WC_LOOSE_MISSION,						"The war is lost",	"La guerre est perdue"
STR_WC_BRIEFING,							"Briefing:\nYou have to complete %1 operations before to launch the final assault against the enemy leader.",	"Briefing:\nVous devez accomplir %1 missions avant de lancer l'assault final contre le leader enemi."
STR_WC_IASKILL,								"AI Skill: %1",	"Niveau de l'IA: %1"
STR_WC_TEAMSCORE,							"Team score: %1",	"Score de l'equipe: %1"
STR_WC_ENNEMYKILLED,						"Global enemies killed: %1",	"Enemis tues: %1"
STR_WC_AMMOUSED,							"Ammo used: %1",	"Munitions utilisees: %1"
STR_WC_REVIVELEFT,							"Revives left: %1",	"Reapparitions possibles: %1"
STR_WC_POINTSTOTRANSFERT,					"Transfer Points: %1/%2",	"Points a transferer: %1/%2"
STR_SENDREPORT,								"Transfer Points",	"Transferer des points"
STR_SENDREPORTTEXT,							"Transfer points allows to honor a player who has shown for his attitude, his sense of the game, or the team. More points player haves more luck he haves to be promoted in the team",	"Transferer des points permet d'honorer un joueur qui s'est illustré pour son attitude, son sens du jeu, ou du travail en équipe. Plus un joueur recevra de point de la part de ses coequipiers, plus il aura des chances d'etre promu dans l'équipe"
STR_WC_OPERATIONGOAL,						"Operation goal: \n%1",	"Objectif de la mission: \n%1"
STR_WC_NOTYETDEFINE,						"Not defined yet",	"Pas encore defini"
STR_WC_ACTUALLYYOURTEAMRANK,				"Actually your team rank is",	"Votre score d'equipe est"
STR_INTEL0,	"No intel availible for the area",	"Pas de macadamia intel pour la zone"
STR_INTEL1,	"Light vehicles and technicals spotted in the area", "Vehicules legers et technicals reperes dans la zone"
STR_INTEL2,	"Medium armor and apcs spotted in the area", "Armures moyennes et apcs repere dans la zone"
STR_INTEL3,	"Heavy armor group with apcs spotted in the area",	"Groupe armure lourde avec apcs repere dans la zone"
STR_ACGUI_MM_BTN_CLOSE,			"Close",	"Fermer"
STR_ACGUI_MM_BTN_Opt,			"Settings",	"Parametres"
STR_ACGUI_MM_BTN_Obj,			"Operation goal",	"Objectif"
STR_ACGUI_MM_LABEL,				"War in Chernarus",	"War in Chernarus"
STR_ACGUI_MM_BTN_LOGS,			"Admin",	"Admin"
STR_ACGUI_MM_BTN_CREDITS,		"Credits",	"Credits"
STR_ACGUI_MM_BTN_HBFIX,			"Fix Headbug",	"Fix Headbug"
STR_ACGUI_MM_BTN_WEAPONS,		"Export Weapons",	"Exporter armes"
STR_ACGUI_MM_BTN_TEAMSTATUS,	"Team status",	"Team status"
STR_ACGUI_VM_TXT_VD,			"View distance %1",	"Distance de vue %1"
STR_ACGUI_VM_TXT_TG,			"Ground texture %1",	"Texture du sol %1"
STR_ACGUI_VM_BTN_CLOSE,			"Ok",	"Valider"
STR_ACGUI_MM_BTN_TRANSFERT,		"Transfer",	"Transferer"
STR_R3F_REV_dontrespawnatbase,				"Only respawn if you have to! This game is played with medics who can revive you. If you can you should wait for them.",	"Vous ne devez pas respawn a la base. Cette mission se joue avec des medecins qui peuvent vous soigner, vous devez les attendre."
STR_R3F_REV_btn_reapparition,				"Respawn at camp",	"Reapparaitre au camp"
STR_R3F_REV_reapparition_camp_en_cours,		"Respawn at camp in progress...",	"Reapparition au camp en cours..."
STR_R3F_REV_attente_reanimation,			"You're waiting for a medic...",	"Vous etes en attente d'un medecin..."
STR_R3F_REV_marqueur_attente_reanimation,	"%1 unconscious",	"%1 inconscient"
STR_R3F_REV_nb_reanimations_plusieurs,		"You've been healed... You still have %1 possibilities of healing.",	"Vous avez ete soigne... Il vous reste %1 possibilites de reanimation."
STR_R3F_REV_nb_reanimations_une,			"You've been healed... You only have one possibility of healing before returning to base.",	"Vous avez ete soigne... Il ne vous reste plus qu'une reanimation possible avant retour au camp."
STR_R3F_REV_nb_reanimations_zero,			"You've been healed... It was your last possibility of healing.",	"Vous avez ete soigne...C'etait votre dernière possibilite de reanimation."
STR_R3F_REV_plus_de_reanimation,			"You've reached the limit of healing...",	"Vous avez atteint le nombre limite de reanimations..."
STR_R3F_REV_hors_jeu,						"You're now out of the game...",	"Vous etes à present hors jeu..."
STR_R3F_REV_respawn_camp,					"You respawn at camp...",	"Vous reapparaissez au camp..."
STR_R3F_REV_ne_pas_se_reanimer_soi_meme,	"You can't revive yourself.",	"Vous ne pouvez pas vous reanimer vous-meme."
STR_TSD9_01,	"Team Management",	"Team Management"
STR_TSD9_02,	"Close",	"Close"
STR_TSD9_03,	"My team",	"My team"
STR_TSD9_04,	"My group",	"My group"
STR_TSD9_05,	"Vehicle",	"Vehicle"
STR_TSD9_06,	"Opposition",	"Opposition"
STR_TSD9_07,	"Team",	"Team"
STR_TSD9_09,	"Group",	"Group"
STR_TSD9_11,	"+/-",	"+/-"
STR_TSD9_12,	"#",	"#"
STR_TSD9_13,	"Name",	"Name"
STR_TSD9_15,	"Seat",	"Seat"
STR_TSD9_16,	"Role",	"Role"
STR_TSD9_17,	"Gear",	"Gear"
STR_TSD9_18,	"Score",	"Score"
STR_TSD9_19,	"Command",	"Command"
STR_TSD9_20,	"Requires",	"Requires"
STR_TSD9_21,	"Pos",	"Pos"
STR_TSD9_23,	"My Prox",	"My Prox"
STR_TSD9_24,	"Target",	"Target"
STR_TSD9_25,	"Actions",	"Actions"
STR_TSD9_26,	"Pvt",	"Pvt"
STR_TSD9_27,	"Cpl",	"Cpl"
STR_TSD9_28,	"Sgt",	"Sgt"
STR_TSD9_29,	"Ltn",	"Ltn"
STR_TSD9_30,	"Cpt",	"Cpt"
STR_TSD9_31,	"Mjr",	"Mjr"
STR_TSD9_32,	"Col",	"Col"
STR_TSD9_33,	"A.I",	"A.I"
STR_TSD9_34,	"Dead",	"Dead"
STR_TSD9_35,	"Name unknown",	"Name unknown"
STR_TSD9_36,	"some",	"some"
STR_TSD9_37,	"TL",	"TL"
STR_TSD9_38,	"(My group)",	"(My group)"
STR_TSD9_39,	"Vacant Seats",	"Vacant Seats"
STR_TSD9_40,	"has left your group",	"has left your group"
STR_TSD9_41,	"has joined your group",	"has joined your group"
STR_TSD9_42,	"Your new Team Leader is",	"Your new Team Leader is"
STR_TSD9_43,	"has resigned",	"has resigned"
STR_TSD9_44,	"Player",	"Player"
STR_TSD9_45,	"was kicked from the group",	"was kicked from the group"
STR_TSD9_46,	"soldier was removed from group",	"soldier was removed from group"
STR_TSD9_47,	"+",	"+"
STR_TSD9_48,	"You are the new Team Leader",	"You are the new Team Leader"
STR_TSD9_49,	"has been replaced",	"has been replaced"
STR_TSD9_50,	"The Team Leader is no longer an AI player",	"The Team Leader is no longer an AI player"
STR_TSD9_51,	"New group",	"New group"
STR_TSD9_52,	"Join group",	"Join group"
STR_TSD9_53,	"Go TL",	"Go TL"
STR_TSD9_54,	"New TL",	"New TL"
STR_TSD9_55,	"Remove",	"Remove"
STR_TSD9_56,	"Kick",	"Kick"
STR_TSD9_57,	"Recruit",	"Recruit"
STR_TSD9_58,	"Invite",	"Invite"
STR_TSD9_59,	"No",	"No"
STR_TSD9_60,	"Passenger",	"Passenger"
STR_TSD9_61,	"was invited into group",	"was invited into group"
STR_TSD9_62,	"soldier was recruited into group",	"soldier was recruited into group"
STR_TSD9_63,	"you have been invited to join group",	"you have been invited to join group"
STR_TSD9_64,	"Collapse all",	"Collapse all"
STR_TSD9_65,	"Expand all",	"Expand all"
STR_R3F_VERSION,					"Version 1.01",	"Version 1.01"
STR_R3F_DEBUG_INFO_CAMERA,			"Right click for exiting camera mode",	"Pour sortir du mode Caméra => Click Droit"
STR_R3F_DEBUG_VELOCITY1,			"Velocity 1",	"Vélocité 1"
STR_R3F_DEBUG_VELOCITY2,			"Velocity 2",	"Vélocité 2"
STR_R3F_DEBUG_VELOCITY4,			"Velocity 4",	"Vélocité 4"
STR_R3F_DEBUG_VELOCITY8,			"Velocity 8",	"Vélocité 8"
STR_R3F_DEBUG_VELOCITY16,			"Velocity 16",	"Vélocité 16"
STR_R3F_DEBUG_VELOCITY32,			"Velocity 32",	"Vélocité 32"
STR_R3F_DEBUG_NEUTRALITY_ON,		"Neutrality ON",	"Mode neutre"
STR_R3F_DEBUG_NEUTRALITY_OFF,		"Neutrality OFF",	"Mode non-neutre"
STR_R3F_DEBUG_INITED,				"The [R3F] DEBUG is running on this mission.",	"Le [R3F] DEBUG est actif dans cette mission."
STR_R3F_DEBUG_BAD_INIT,				"A player has not the [R3F] DEBUG. You must init it on each player.",	"Un joueur n'a pas le [R3F] DEBUG. Vous devez l'initialiser chez chaque joueur."
STR_R3F_DEBUG_SHOW_AIS,				"Show AIs",	"Montrer IA"
STR_R3F_DEBUG_IA_SKILL,				"AI's Skill",	"Compétence IA"
STR_R3F_DEBUG_GOD_SIGHT,			"God Sight",	"Vue Divine"
STR_R3F_DEBUG_DISABLE_AI,			"Disable AIs",	"Désactiver IA"
STR_R3F_DEBUG_NEUTRAL,				"Neutral Player",	"Joueur Neutre"
STR_R3F_DEBUG_INVULNERABILITY,		"Invulnerability",	"Invulnérabilité"
STR_R3F_DEBUG_VELOCITY_MULT,		"Player Velocity",	"Velocité Joueur"
STR_R3F_DEBUG_INFINITE_AMMO,		"Infinite Ammo",	"Munitions Infinies"
STR_R3F_DEBUG_KILL_THEM_ALL,		"Kill Them All",	"Tuer les tous"
STR_R3F_DEBUG_CREATE_VEHICLE,		"Create Vehicle",	"Créer Véhicule"
STR_R3F_DEBUG_TELEPORT,				"Teleportation",	"Téléportation"
STR_R3F_DEBUG_CAMERA,				"Camera",	"Caméra"
STR_R3F_DEBUG_BIS_HELP,				"BIS Fnc Help",	"BIS Fnc Help"
STR_R3F_DEBUG_SCRIPT,				"Script command",	"Execution de scripts"
STR_R3F_DEBUG_LOGS,					"Log messages",	"Messages de log"
STR_R3F_DEBUG_SPY,					"Variables Watcher",	"Espion de Variables"
STR_R3F_DEBUG_SPY2,					"Watched variables list ALT+L",	"Liste des variables espionnées ALT+L"
STR_R3F_DEBUG_SHOW,					"Show",	"Montrer"
STR_R3F_DEBUG_HIDE,					"Hide",	"Masquer"
STR_R3F_DEBUG_ON,					"On",	"Activé"
STR_R3F_DEBUG_OFF,					"Off",	"Désactivé"
STR_R3F_DEBUG_POOR,					"Poor",	"Faible"
STR_R3F_DEBUG_NORMAL,				"Normal",	"Normal"
STR_R3F_DEBUG_GOOD,					"Good",	"Bon"
STR_R3F_DEBUG_PROCEED,				"Proceed",	"Utiliser"
STR_R3F_DEBUG_ACTIVEP,				"Active +",	"Activé +"
STR_R3F_DEBUG_CLICKONMAP_TELEPORT,	"Click on map to select the where you want to teleport to",	"Cliquez sur la map pour choisir la position de la téléportation"
STR_R3F_DEBUG_CLICKONMAP_CAMERA,	"Click on map to select the camera position",	"Cliquez sur la map pour choisir la position de la caméra"
STR_R3F_DEBUG_BTNOK,				"Ok",	"Ok"
STR_R3F_DEBUG_BTNCLOSE,				"Close",	"Fermer"
STR_R3F_DEBUG_BTNCANCEL,			"Cancel",	"Annuler"
STR_R3F_DEBUG_SCRIPT_TITLE,			"Script Editor",	"Editeur de script"
STR_R3F_DEBUG_BTNRAZ,				"Reset",	"R.A.Z"
STR_R3F_DEBUG_BTNEXEC,				"Run",	"Exécuter"
STR_R3F_DEBUG_BTNTERMINATE,			"Terminate",	"Terminer"
STR_R3F_DEBUG_TITLE_EDIT,			"Variable to watch : ",	"Variable à surveiller : "
STR_R3F_SPY_BTNADD,					"Add",	"Ajouter"
STR_R3F_SPY_BTNDEL,					"Delete",	"Supprimer"
STR_R3F_DEBUG_HINT,					"<t align=""left"">Enter the names of variables to monitor<br />You can also monitor functions<br />For example, enter: <t color='#f5ffbd'>Position player</t> for your position permanently.</t>",	"<t align=""left"">Saisissez les noms de variables à surveiller.<br />Vous pouvez aussi surveiller des fonctions<br />Entrez par exemple : <t color='#f5ffbd'>Position player</t> pour avoir en permanence votre position.</t>"
